Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used
Chaetodon auriga ,Threadfin butterflyfish,Perciformes,Chaetodontidae,3.7,1,1,1,,reef-associated,30.5,,minor commercial,N,N,LC,12,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Chaetodon auripes ,Oriental butterflyfish,Perciformes,Chaetodontidae,3.5,1,1,1,,reef-associated,15.5,,none,N,N,LC,15,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Chaetodon lunula ,Raccoon butterflyfish,Perciformes,Chaetodontidae,3.7,1,1,1,,reef-associated,85,,minor commercial,N,N,LC,15,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Chaetodon trifascialis ,Chevron butterflyfish,Perciformes,Chaetodontidae,3.3,0,1,0,,reef-associated,16,,none,N,N,NT,25,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Cheilinus trilobatus ,Tripletail wrasse,Perciformes,Labridae,3.9,2,2,1,,reef-associated,15.5,,minor commercial,N,N,LC,43,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Ctenochaetus binotatus ,Twospot surgeonfish,Perciformes,Acanthuridae,2,1,1,1,,reef-associated,30.5,Grazing,none,N,N,LC,23,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Cypselurus unicolor ,Limpid-wing flyingfish,Beloniformes,Exocoetidae,3.7,1,1,1,,pelagic-neritic,5,,none,N,N,Not assessed,20,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Dentex tumifrons,Yellowback seabream,Perciformes,Sparidae,3.8,1,1,1,,demersal,188,,commercial,N,N,LC,37,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Epinephelus hexagonatue,Hong Kong grouper,Perciformes,Serranidae,4,1,1,1,,reef-associated,28,Active predation,minor commercial,Y,N,EN,46,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Gnathodentex aureolineatus ,Striped large-eye bream,Perciformes,Lethrinidae,3.1,0,1,0,,reef-associated,16.5,,commercial,N,N,LC,30,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Hemigymnus melapterus ,Blackeye thicklip,Perciformes,Labridae,3.6,1,1,1,,reef-associated,15.5,,minor commercial,N,N,LC,50,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Kyphosus lembus ,Brassy chub,Perciformes,Kyphosidae,2,1,1,1,,reef-associated,20,Grazing,commercial,N,N,LC,54,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Lutjanus gibbus ,Humpback red snapper,Perciformes,Lutjanidae,4.1,1,1,1,,reef-associated,75.5,Benthic foraging,commercial,N,Y,LC,35,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Myripristis kuntee ,Shoulderbar soldierfish,Beryciformes,Holocentridae,3.4,0,1,0,,reef-associated,32.5,,minor commercial,N,N,LC,20,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Naso lituratus ,Orangespine unicornfish,Perciformes,Acanthuridae,2.3,1,1,1,,reef-associated,45,,minor commercial,N,N,LC,34,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Naso unicornis ,Bluespine unicornfish,Perciformes,Acanthuridae,2.2,1,1,1,,reef-associated,90.5,Grazing,commercial,N,Y,LC,32,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Neoniphon sammara ,Sammara squirrelfish,Beryciformes,Holocentridae,3.6,1,1,1,,reef-associated,23,,minor commercial,N,N,LC,26,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Pomacanthus semicirculatus ,Semicircle angelfish,Perciformes,Pomacentridae,2.7,0,1,0,,reef-associated,20.5,,minor commercial,N,N,LC,65,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Priacanthus sagittarius ,Arrow bulleye,Perciformes,Priacanthidae,4.2,1,1,1,,demersal,350,,minor commercial,N,N,LC,29,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Scarus forsteni ,Forsten's parrotfish,Perciformes,Scaridae,2,1,1,1,,reef-associated,16.5,,commercial,N,N,LC,23,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Scarus quoyi ,Quoy's parrotfish,Perciformes,Scaridae,2,0,1,0,,reef-associated,10,,commercial,N,N,LC,26,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes
Amblychaeturichthys hexanema,Pinkgray goby,Perciformes,Gobiidae,3.4,,23,,3,demersal,,Benthic foraging,minor commercial,N,N,Not assessed,27,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Chaeturichthys stigmatias,Branded goby,Perciformes,Gobiidae,3.8,,16,,3.4375,demersal,,Benthic foraging,commercial,N,N,Not assessed,35,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,,17,,4.058823529,demersal,90,Benthic foraging,none,N,N,Not assessed,17,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Cynoglossus semilaevis,Tongue sole,Pleuronectiformes,Cynoglossidae,3.7,,26,,4.5,demersal,,Benthic foraging ,none,N,N,Not assessed,44,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Odontamblyopus rubicundus,,Perciformes,Gobiidae,3.9,,23,,3.652173913,benthopelagic,,,minor commercial,N,N,Not assessed,47,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Thryssa kammalensis,Kammal thryssa,Clupeiformes,Engraulidae,3.4,,19,,6.315789474,pelagic-neritic,10,Particulate feeder,none,N,N,DD,32,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Cynoscion acoupa,Acoupa weakfish,Perciformes,Sciaenidae,4.1,340,530,0.642,,demersal,10,Active predation,commercial,N,Y,LC,45,GUIA,2005-2006,2016,Ferreira et al. 2016,Y,2,estuarine,trawling,plastic study,none,not described,yes
Cynoscion acoupa,Acoupa weakfish,Perciformes,Sciaenidae,4.1,281,552,0.51,1.94384058,demersal,10,Active predation,commercial,N,Y,LC,45,GUIA,2005-2006,2018,Ferreira et al. 2018,Y,2,estuarine,"otter trawl, fyke nets",plastic study,none,not described,yes
Centropomus mexicanus,Largescale fat snook,Perciformes,Centropomidae,4,117,184,0.65,0.413315217,demersal,,Active predation,commercial,N,Y,LC,49,BRAZ,2005-2015,2019,Ferreira et al. 2019,Y,2,estuarine,,not described,none,no,yes
Centropomus pectinatus,Tarpon snook,Perciformes,Centropomidae,4,40,80,0.51,0.255,benthopelagic,,Active predation,minor commercial,N,N,LC,27,BRAZ,2005-2015,2019,Ferreira et al. 2019,Y,2,estuarine,,not described,none,no,yes
Centropomus undecimalis,Common snook,Perciformes,Centropomidae,4.2,149,265,0.58,0.849018868,reef-associated,22,Active predation,commercial,Y,Y,LC,46,BRAZ,2005-2015,2019,Ferreira et al. 2019,Y,2,estuarine,,not described,none,no,yes
Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,3.4,8,566,0.014,,benthopelagic,200,Filter-feeder: facultative,highly commercial,N,Y,LC,39,NECS,August 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Eutrigla gurnardus,Gray gurnard,Scorpaeniformes,Triglidae,3.9,0,171,0,,demersal,80,Benthic foraging,commercial,N,N,Not assessed,30,NECS,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Gadus morhua,Atlantic Cod,Gadiformes,Gadidae,4.1,10,80,0.125,0.1875,benthopelagic,175,Benthic foraging,highly commercial,Y,Y,VU,65,NECS,January 2011-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
,Herring sp.,Clupeiformes,Clupeidae,,11,566,0.019434629,,pelagic-neritic,,Particulate feeder,,,,,,NECS,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Melanogrammus aeglefinus,Haddock,Gadiformes,Gadidae,4,6,97,0.06185567,0.06,demersal,105,Benthic foraging,highly commercial,experimental,Y,VU,55,NECS,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Merlangius merlangus,Whiting,Gadiformes,Gadidae,4.4,6,105,0.057,0.11,benthopelagic,65,Benthic foraging,highly commercial,N,Y,LC,38,NECS,October 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Scomber scombrus,Atlantic mackerel,Perciformes,Scombridae,3.6,0,84,0,,pelagic-neritic,200,Particulate feeder,highly commercial,N,Y,LC,44,NECS,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,3.7,1,100,0.01,0.01,pelagic-neritic,150,Active predation,highly commercial,N,Y,VU,59,NECS,Sep-10,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Whiting sp.,Whiting sp.,,,,6,105,0.057142857,,,1375,,,,,,,NECS,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
,Horse mackerel sp.,Perciformes,Carangidae,,1,100,0.01,,,,Particulate feeder,,,,,,NECS,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes
Abudefduf sordidus,Blackspot sergeant,Perciformes,Pomacentridae,2.9,0,1,0,0,reef-associated,1.5,Particulate feeder,minor commercial,N,N,LC,32,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Caranx melampygus,Bluefin trevally,Perciformes,Carangidae,4.5,0,1,0,0,reef-associated,95,Active predation,minor commercial,N,Y,LC,56,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Caranx sexfasciatus,Bigeye trevally,Perciformes,Carangidae,4.5,0,3,0,0,reef-associated,73,Active predation,minor commercial,N,Y,LC,45,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Chlorurus sordidus,Daisy parrotfish,Perciformes,Scaridae,2.4,1,4,0.25,0.25,reef-associated,25,Grazing,commercial,N,N,LC,19,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Coris aygula,Clown coris,Perciformes,Labridae,3.7,0,1,0,0,reef-associated,16,Benthic foraging,minor commercial,N,Y,LC,72,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,4.4,0,1,0,0,pelagic-neritic,7.5,Active predation,highly commercial,Y,Y,LC,40,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Epinephelus fasciatus,Blacktip grouper,Perciformes,Serranidae,3.7,0,17,0,0,reef-associated,32.5,Benthic foraging,commercial,N,Y,LC,53,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Epinephelus sp.,,Perciformes,Serranidae,,0,1,0,0,reef-associated,,,,,,,,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Gymnosarda unicolor,Dogtooth tuna,Perciformes,Scombridae,4.5,0,2,0,0,reef-associated,140,Active predation,minor commercial,N,Y,LC,73,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Kuhlia sandvicensis,Hawaiian flagtail,Perciformes,Kuhliidae,3.8,2,15,0.133333333,0.133333333,benthopelagic,10,,none,N,Y,Not assessed,32,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Kyphosus pacificus,Pacific drummer,Perciformes,Kyphosidae,,0,15,0,0,reef-associated,10,,none,N,N,Not assessed,56,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Lutjanus gibbus,Humpback red snapper,Perciformes,Lutjanidae,4.1,0,1,0,0,reef-associated,75.5,Benthic foraging,commercial,N,Y,LC,35,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Mulloidichthys flavolineatus,Yellowstripe goatfish,Perciformes,Mullidae,3.8,0,2,0,0,reef-associated,38.5,Benthic foraging,commercial,N,Y,LC,39,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Myripristis amaena,Brick soldierfish,Beryciformes,Holocentridae,3.6,0,10,0,0,reef-associated,38.5,Benthic foraging,none,N,N,LC,37,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Naso brachycentron,Humpback unicornfish,Perciformes,Acanthuridae,2.7,0,1,0,0,reef-associated,17.5,Grazing,none,N,N,LC,67,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Oxycheilinus unifasciatus,Ringtail maori wrasse,Perciformes,Labridae,4.1,0,1,0,0,reef-associated,75.5,Benthic foraging,minor commercial,N,N,LC,44,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Scarus sp.,,Perciformes,Scaridae,,0,1,0,0,reef-associated,,,,,,,,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,0,10,0,0,benthopelagic,,Active predation,minor commercial,Y,Y,LC,69,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Sphyraena qenie,Blackfin barracuda,Perciformes,Sphyraenidae,4.5,1,7,0.142857143,0.142857143,reef-associated,50.5,Active predation,commercial,N,Y,Not assessed,76,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Thalassoma purpureum,Surge wrasse,Perciformes,Labridae,3.8,1,2,0.5,0.5,reef-associated,5,Benthic foraging,minor commercial,N ,Y,LC,44,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Thalassoma trilobatum,Christmas wrasse,Perciformes,Labridae,3.8,1,4,0.25,0.25,reef-associated,5,Benthic foraging,minor commercial,N,N,LC,35,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Variola louti,Yellow-edged lyretail,Perciformes,Serranidae,4.3,2,15,0.133333333,0.133333333,reef-associated,15,Particulate feeder,commercial,N,Y,LC,49,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Epinephelus sp.,,Perciformes,Serranidae,,0,1,0,0,reef-associated,,,,,,,,TASM,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Kyphosus sydneyanus,Silver drummer,Perciformes,Kyphosidae,2,0,10,0,0,demersal,,Grazing,subsistence,N,N,Not assessed,59,TASM,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no
Cheilopogon simus,Short-nosed flying fish,Beloniformes,Exocoetidae,4,6,34,0.18,0.24,pelagic-neritic,10,Particulate feeder,minor commercial,N,N,Not assessed,18,SPSG,January - March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes
Epinephelus merra,Honeycomb grouper,Perciformes,Serranidae,3.8,10,33,0.3,0.39,reef-associated,20,Active predation,commercial,Y,Y,LC,29,SPSG,January - March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes
Myripristis spp.,,Beryciformes,Holocentridae,,7,33,0.21,0.27,,,,,,,,,SPSG,January - March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes
Siganus spp.,,Perciformes,Siganidae,,5,33,0.15,0.15,reef-associated,,,,,,,,SPSG,January - March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes
Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,2,19,0.105263158,0.1053,benthopelagic,414,Particulate feeder,minor commercial,experimental,Y,LC,69,NPSE,2009,2013,Gassel et al. 2013,Y,2,marine,hook-and-line,plastic study,none,not described,yes
Myctophidae spp.,,Myctophiformes,Myctophidae,,2,6,0.333333333,0.666666667,,,,,,,,,CCAL,2009,2019,Gassel et al. 2019,Y,3,marine,trawling,plastic study,none,lab blank,yes
Sprattus sprattus,European sprat,Clupeiformes,Clupeidae,3,43,111,0.387387387,0.88,pelagic-neritic,80,Particulate feeder,highly commercial,N,N,LC,33,NECS,2014,2016,GESAMP 2016,Y,2,marine,,,NA,NA,NA
Merluccius merluccius,European hake,Gadiformes,Merluccidae,4.4,26,97,0.268,0.381443299,demersal,235,Active predation,highly commercial,N,Y,LC,64,MEDI,2017,2019,Giani et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,26,132,0.197,0.212121212,demersal,200,Benthic foraging,commercial,N,Y,LC,29,MEDI,2017,2019,Giani et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Argyrosomus regius,Meagre,Perciformes,Sciaenidae,4.3,17,51,0.333333333,0.53,benthopelagic,300,Active predation,commercial,N,Y,LC,67,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Caranx crysos,Blue runner,Perciformes,Carangidae,4.1,1,1,1,3,reef-associated,50,Benthic foraging,minor commercial,N,Y,LC,34,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Dentex dentex,Common dentex,Perciformes,Sparidae,4.5,0,1,0,0,benthopelagic,100,Active predation,commercial,Y,Y,VU,66,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Dentex gibbosus,Pink dentex,Perciformes,Sparidae,4.1,2,14,0.142857143,0.14,benthopelagic,120,Benthic foraging,commercial,N,Y,LC,60,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Diplodus annularis,Annular seabream,Perciformes,Sparidae,3.6,20,48,0.416666667,0.6,benthopelagic,45,Benthic foraging,commercial,N,Y,LC,27,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Lagocephalus spadiceus,Half-smooth golden pufferfish,Tetraodontiformes,Tetraodontidae,3.7,0,1,0,0,demersal,,,none,N,N,LC,31,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Lithognathus mormyrus,Sand seabras,Perciformes,Sparidae,3.4,9,46,0.195652174,0.37,demersal,15,Benthic foraging,minor commercial,N,Y,LC,40,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Liza aurata,Golden gray mullet,Mugiliformes,Mugilidae,2.8,14,39,0.358974359,1.08,pelagic-neritic,,Benthic foraging,commercial,Y,N,LC,35,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,85,207,0.410628019,0.66,demersal,200,Benthic foraging,commercial,N,Y,LC,29,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,18,51,0.352941176,0.43,demersal,207,Benthic foraging,commercial,N,Y,LC,39,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Nemipterus randalli,Randall's threadfin bream,Perciformes,Nemipteridae,3.7,38,135,0.281481481,0.53,demersal,236,,minor commercial,N,N,Not assessed,18,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Pagellus acarne,Axillary seabream,Perciformes,Sparidae,3.8,25,52,0.480769231,0.85,benthopelagic,70,Benthic foraging,commercial,N,Y,LC,43,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Pagellus erythrinus,Common pandora,Perciformes,Sparidae,3.5,12,54,0.222222222,0.24,benthopelagic,60,Benthic foraging,commercial,N,Y,LC,40,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Pagrus pagrus,Red porgy,Perciformes,Sparidae,3.9,2,9,0.222222222,0.67,benthopelagic,45,Benthic foraging,commercial,Y,Y,LC,66,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Pelates quadrilineatus,Fourlined terapon,Perciformes,Terapontidae,3.5,38,135,0.281481481,0.45,reef-associated,,Benthic foraging,minor commercial,N,N,Not assessed,29,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Pomadasys incisus,Bastard grunt,Perciformes,Haemulidae,3.8,9,29,0.310344828,0.41,demersal,55,Benthic foraging,minor commercial,N,N,LC,40,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,3.1,4,7,0.571428571,1.57,pelagic-neritic,100,Particulate feeder,highly commercial,N,N,LC,27,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Saurida undosquamis,Brushtooth lizardfish,Aulopiformes,Synodontidae,4.5,36,99,0.363636364,0.62,reef-associated,175.5,Active predation,minor commercial,N,N,LC,39,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Sciaena umbra,Brown meagre,Perciformes,Sciaenidae,3.8,1,1,1,1,demersal,,Benthic foraging,commercial,N,N,NT,64,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Scomber japonicus,Chub mackerel,Perciformes,Scombridae,3.4,4,7,0.571428571,5.86,pelagic-neritic,200,Particulate feeder,highly commercial,Y,Y,LC,34,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Serranus cabrilla,Comber,Perciformes,Serranidae,3.4,2,6,0.333333333,0.67,demersal,252.5,Benthic foraging,commercial,Y,Y,LC,36,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Siganus luridus,Dusky spinefish,Perciformes,Siganidae,2,9,15,0.6,1.67,reef-associated,,Grazing,minor commercial,N,N,LC,39,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Sparus aurata,Gilthead seabream,Perciformes,Sparidae,3.7,30,110,0.272727273,0.42,demersal,15.5,Benthic foraging,commercial,Y,Y,LC,40,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Trachurus mediterraneus,Mediterranean horse mackerel,Perciformes,Carangidae,3.8,47,98,0.479591837,1.06,pelagic-oceanic,,Particulate feeder,commercial,N,Y,LC,47,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Trigla lucerna,Tub gurnard,Scorpaeniformes,Triglidae,4,5,24,0.208333333,0.33,demersal,169,Benthic foraging,commercial,N,Y,LC,40,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Umbrina cirrosa,Shi drum,Perciformes,Sciaenidae,3.4,0,1,0,0,demersal,50,Benthic foraging,minor commercial,experimental,Y,Not assessed,40,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Upeneus moluccensis,Goldband goatfish,Perciformes,Mullidae,3.6,6,18,0.333333333,0.33,reef-associated,65,Benthic foraging,commercial,N,N,LC,22,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Upeneus pori,Por's goatfish,Perciformes,Mullidae,3.5,23,78,0.294871795,0.36,demersal,10,Benthic foraging,none,N,N,Not assessed,35,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes
Acanthopagrus australis,Yellowfin bream,Perciformes,Sparidae,3.1,6,24,0.25,1.6,demersal,,Benthic foraging,commercial,Y,Y,LC,55,AUSE,March 2015-June 2015,2018,Halstead et al. 2018,Y,2,estuarine,"nets, hook-and-line",plastic study,FTIR,lab blank,yes
Mugil cephalus,Flathead gray mullet,Mugiliformes,Mugilidae,2.5,29,45,0.64,4.6,benthopelagic,60,Benthic foraging,highly commercial,Y,Y,LC,42,AUSE,March 2015-June 2015,2018,Halstead et al. 2018,Y,2,estuarine,"nets, hook-and-line",plastic study,FTIR,lab blank,yes
Gerres subfasciatus,silverbiddy,Perciformes,Gerreidae,3.3,5,24,0.21,0.2,demersal,21,Benthic foraging,none,N,N,LC,20,AUSE,March 2015-June 2015,2018,Halstead et al. 2018,Y,2,estuarine,"nets, hook-and-line",plastic study,FTIR,lab blank,yes
Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,3.4,0,131,0,0,benthopelagic,200,Filter-feeder: facultative,highly commercial,N,Y,LC,39,NECS,43478,2017,Hermsen et al. 2017,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Limanda limanda,Common dab,Pleuronectiformes,Scophthalmidae,3.4,0,100,0,0,demersal,85,Benthic foraging,commercial,N,N,LC,40,NECS,43478,2017,Hermsen et al. 2017,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
Merlangius merlangus,Whiting,Gadiformes,Gadidae,4.4,0,28,0,0,benthopelagic,65,Active predation,highly commercial,N,Y,LC,38,NECS,43478,2017,Hermsen et al. 2017,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes
