Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used
Spondyliosoma cantharus,Black seabream,Perciformes,Sparidae,3.3,5,5,1,,benthopelagic,152.5,Active predation,commercial,Y,N,LC,37,MEDI,2014,2017,Avio et al. 2017,Y,3,marine,gillnets,plastic study,FTIR,not described,yes
Uranoscopus scaber,Stargazer,Trachiniformes,Uranoscopidae,4.4,7,9,0.777777778,,demersal,207.5,,minor commercial,N,Y,LC,44,MEDI,2014,2017,Avio et al. 2017,Y,3,marine,gillnets,plastic study,FTIR,not described,yes
Scorpaena sp.,n/a,,,,16,19,0.842105263,,,,,,,,,,MEDI,2014,2017,Avio et al. 2017,Y,3,marine,gillnets,plastic study,FTIR,not described,yes
Dendrophysa russelii,Goatee croaker,Perciformes,Sciaenidae,3.5,23,41,0.56097561,0.88,demersal,,,minor commercial,N,N,Not assessed,17,SUND,January-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes
Johnius borneensis,Sharpnose hammer croaker,Perciformes,Sciaenidae,3.7,18,30,0.6,0.9,benthopelagic,66,Active predation,minor commercial,N,N,Not assessed,22,SUND,January-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes
Johnius weberi,Weber's croaker,Perciformes,Sciaenidae,3.4,4,7,0.571428571,1.14,benthopelagic,,,minor commercial,N,N,Not assessed,15,SUND,January-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes
Panna microdon,Panna croaker,Perciformes,Sciaenidae,3.6,12,27,0.444444444,0.85,demersal,,,minor commercial,N,N,Not assessed,31,SUND,January-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes
Abudefduf sexfasciatus,Scissortail sergeant,Perciformes,Pomacentridae,2.7,1,5,0.2,0.2,reef-associated,10.5,Particulate feeder,minor commercial,N,N,LC,29,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Acanthurus gahhm,Black surgeonfish,Perciformes,Acanthuridae,2.8,1,10,0.1,0.1,reef-associated,22.5,Benthic foraging,commercial,N,N,LC,33,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Acanthurus sohal,Sohal surgeonfish,Perciformes,Acanthuridae,2,0,3,0,0,reef-associated,10,Grazing,commercial,N,N,LC,33,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Benthosema pterotum,Skinnycheek lanternfish,Myctophiformes,Myctophidae,3.1,1,10,0.1,0.1,benthopelagic,155,Particulate feeder,minor commercial,N,N,LC,10,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Cephalopholis argus,Peacock hind,Perciformes,Serranidae,4.5,0,4,0,0,reef-associated,20.5,Active predation,commercial,N,Y,LC,49,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Chaetodon austriacus,Blacktail butterflyfish,Perciformes,Chaetodontidae,3.3,1,10,0.1,0.1,reef-associated,8,Benthic foraging,commercial,N,N,LC,12,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Dascyllus trimaculatus,Threespot dascyllus,Perciformes,Pomacentridae,2.8,0,2,0,0,reef-associated,28,Particulate feeder,minor commercial,N,N,Not assessed,24,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Epinephelus areolatus,Areolate grouper,Perciformes,Serranidae,3.7,1,5,0.2,0.2,reef-associated,103,Benthic foraging,commercial,N,N,LC,36,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Epinephelus chlorostigma,Brownspotted grouper,Perciformes,Serranidae,4,1,3,0.333333333,0.333333333,reef-associated,152,Active predation,commercial,N,N,LC,38,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Epinephelus epistictus,Dotted grouper,Perciformes,Serranidae,4,1,5,0.2,0.2,demersal,400,Active predation,minor commercial,N,N,LC,57,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Epinephelus radiatus,Oblique-banded grouper,Perciformes,Serranidae,4,1,7,0.142857143,0.142857143,demersal,200.5,Active predation,minor commercial,N,N,LC,61,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Gymnocranius grandoculis,Blue-lined large-eye bream,Perciformes,Lethrinidae,3.8,2,10,0.2,0.2,reef-associated,95,Active predation,minor commercial,N,N,LC,42,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Lethrinus microdon,Smalltooth emperor,Perciformes,Lethrinidae,3.8,2,10,0.2,0.2,reef-associated,45,Benthic foraging,commercial,N,N,LC,46,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Lipocheilus carnolabrum,Tang's snapper,Perciformes,Lutjanidae,3.9,2,7,0.285714286,0.285714286,demersal,215,Benthic foraging,commercial,N,N,LC,50,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Lutjanus kasmira,Common bluestripe snapper,Perciformes,Lutjanidae,3.9,2,12,0.166666667,0.166666667,reef-associated,90,Benthic foraging,commercial,N,Y,LC,40,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Maurolicus mucronatus,,Stomiiformes,Sternoptychidae,3.1,1,10,0.1,0.1,bathypelagic,,,none,N,N,Not assessed,11,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Naso unicornis,Bluespine unicornfish,Perciformes,Acanthuridae,2.2,0,2,0,0,reef-associated,90.5,Grazing,commercial,N,Y,LC,32,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Neoniphon sammara,Sammara squirrelfish,Perciformes,Holocentridae,3.6,1,5,0.2,0.2,reef-associated,23,Benthic foraging,minor commercial,N,Y,LC,26,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
