,Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used,parsed_date,Risk_0_3,Risk_0_5,Risk_0_10,Risk_0pt5_5,Risk_0pt5_10,Risk_1_5,Risk_1_10,Risk_3_10,Risk_5_10
197,Cypselurus unicolor ,Limpid-wing flyingfish,Beloniformes,Exocoetidae,3.7,1.0,1.0,1.0,,pelagic-neritic,5.0,,none,N,N,Not assessed,20.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
198,Dentex tumifrons,Yellowback seabream,Perciformes,Sparidae,3.8,1.0,1.0,1.0,,demersal,188.0,,commercial,N,N,LC,37.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
199,Epinephelus hexagonatue,Hong Kong grouper,Perciformes,Serranidae,4.0,1.0,1.0,1.0,,reef-associated,28.0,Active predation,minor commercial,Y,N,EN,46.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
200,Gnathodentex aureolineatus ,Striped large-eye bream,Perciformes,Lethrinidae,3.1,0.0,1.0,0.0,,reef-associated,16.5,,commercial,N,N,LC,30.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
201,Hemigymnus melapterus ,Blackeye thicklip,Perciformes,Labridae,3.6,1.0,1.0,1.0,,reef-associated,15.5,,minor commercial,N,N,LC,50.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
202,Kyphosus lembus ,Brassy chub,Perciformes,Kyphosidae,2.0,1.0,1.0,1.0,,reef-associated,20.0,Grazing,commercial,N,N,LC,54.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
203,Lutjanus gibbus ,Humpback red snapper,Perciformes,Lutjanidae,4.1,1.0,1.0,1.0,,reef-associated,75.5,Benthic foraging,commercial,N,Y,LC,35.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
204,Myripristis kuntee ,Shoulderbar soldierfish,Beryciformes,Holocentridae,3.4,0.0,1.0,0.0,,reef-associated,32.5,,minor commercial,N,N,LC,20.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
205,Naso lituratus ,Orangespine unicornfish,Perciformes,Acanthuridae,2.3,1.0,1.0,1.0,,reef-associated,45.0,,minor commercial,N,N,LC,34.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
206,Naso unicornis ,Bluespine unicornfish,Perciformes,Acanthuridae,2.2,1.0,1.0,1.0,,reef-associated,90.5,Grazing,commercial,N,Y,LC,32.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
207,Neoniphon sammara ,Sammara squirrelfish,Beryciformes,Holocentridae,3.6,1.0,1.0,1.0,,reef-associated,23.0,,minor commercial,N,N,LC,26.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
208,Pomacanthus semicirculatus ,Semicircle angelfish,Perciformes,Pomacentridae,2.7,0.0,1.0,0.0,,reef-associated,20.5,,minor commercial,N,N,LC,65.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
209,Priacanthus sagittarius ,Arrow bulleye,Perciformes,Priacanthidae,4.2,1.0,1.0,1.0,,demersal,350.0,,minor commercial,N,N,LC,29.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
210,Scarus forsteni ,Forsten's parrotfish,Perciformes,Scaridae,2.0,1.0,1.0,1.0,,reef-associated,16.5,,commercial,N,N,LC,23.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
211,Scarus quoyi ,Quoy's parrotfish,Perciformes,Scaridae,2.0,0.0,1.0,0.0,,reef-associated,10.0,,commercial,N,N,LC,26.0,SUND,2017,2019,Ding et al. 2019b,Y,3,marine,,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
212,Amblychaeturichthys hexanema,Pinkgray goby,Perciformes,Gobiidae,3.4,,23.0,,3.0,demersal,,Benthic foraging,minor commercial,N,N,Not assessed,27.0,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2018-03-01 00:00:00'), Timestamp('2018-05-30 00:00:00'))",1,1,1,1,1,1,1,0,0
213,Chaeturichthys stigmatias,Branded goby,Perciformes,Gobiidae,3.8,,16.0,,3.4375,demersal,,Benthic foraging,commercial,N,N,Not assessed,35.0,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2018-03-01 00:00:00'), Timestamp('2018-05-30 00:00:00'))",2,1,1,1,1,1,1,1,0
214,Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,,17.0,,4.058823529,demersal,90.0,Benthic foraging,none,N,N,Not assessed,17.0,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2018-03-01 00:00:00'), Timestamp('2018-05-30 00:00:00'))",2,1,1,1,1,1,1,1,0
215,Cynoglossus semilaevis,Tongue sole,Pleuronectiformes,Cynoglossidae,3.7,,26.0,,4.5,demersal,,Benthic foraging ,none,N,N,Not assessed,44.0,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2018-03-01 00:00:00'), Timestamp('2018-05-30 00:00:00'))",2,1,1,1,1,1,1,1,0
216,Odontamblyopus rubicundus,,Perciformes,Gobiidae,3.9,,23.0,,3.652173913,benthopelagic,,,minor commercial,N,N,Not assessed,47.0,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2018-03-01 00:00:00'), Timestamp('2018-05-30 00:00:00'))",2,1,1,1,1,1,1,1,0
217,Thryssa kammalensis,Kammal thryssa,Clupeiformes,Engraulidae,3.4,,19.0,,6.315789474,pelagic-neritic,10.0,Particulate feeder,none,N,N,DD,32.0,CHIN,Spring 2018,2019,Feng et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2018-03-01 00:00:00'), Timestamp('2018-05-30 00:00:00'))",2,2,1,2,1,2,1,1,1
218,Cynoscion acoupa,Acoupa weakfish,Perciformes,Sciaenidae,4.1,340.0,530.0,0.642,,demersal,10.0,Active predation,commercial,N,Y,LC,45.0,GUIA,2005-2006,2016,Ferreira et al. 2016,Y,2,estuarine,trawling,plastic study,none,not described,yes,"(Timestamp('2005-01-01 00:00:00'), Timestamp('2006-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
219,Cynoscion acoupa,Acoupa weakfish,Perciformes,Sciaenidae,4.1,281.0,552.0,0.51,1.94384058,demersal,10.0,Active predation,commercial,N,Y,LC,45.0,GUIA,2005-2006,2018,Ferreira et al. 2018,Y,2,estuarine,"otter trawl, fyke nets",plastic study,none,not described,yes,"(Timestamp('2005-01-01 00:00:00'), Timestamp('2006-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
220,Centropomus mexicanus,Largescale fat snook,Perciformes,Centropomidae,4.0,117.0,184.0,0.65,0.413315217,demersal,,Active predation,commercial,N,Y,LC,49.0,BRAZ,2005-2015,2019,Ferreira et al. 2019,Y,2,estuarine,,not described,none,no,yes,"(Timestamp('2005-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
221,Centropomus pectinatus,Tarpon snook,Perciformes,Centropomidae,4.0,40.0,80.0,0.51,0.255,benthopelagic,,Active predation,minor commercial,N,N,LC,27.0,BRAZ,2005-2015,2019,Ferreira et al. 2019,Y,2,estuarine,,not described,none,no,yes,"(Timestamp('2005-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
222,Centropomus undecimalis,Common snook,Perciformes,Centropomidae,4.2,149.0,265.0,0.58,0.849018868,reef-associated,22.0,Active predation,commercial,Y,Y,LC,46.0,BRAZ,2005-2015,2019,Ferreira et al. 2019,Y,2,estuarine,,not described,none,no,yes,"(Timestamp('2005-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
223,Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,3.4,8.0,566.0,0.014,,benthopelagic,200.0,Filter-feeder: facultative,highly commercial,N,Y,LC,39.0,NECS,August 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-08-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",2,2,2,2,2,2,2,2,2
224,Eutrigla gurnardus,Gray gurnard,Scorpaeniformes,Triglidae,3.9,0.0,171.0,0.0,,demersal,80.0,Benthic foraging,commercial,N,N,Not assessed,30.0,NECS,July 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-07-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",2,2,2,2,2,2,2,2,2
225,Gadus morhua,Atlantic Cod,Gadiformes,Gadidae,4.1,10.0,80.0,0.125,0.1875,benthopelagic,175.0,Benthic foraging,highly commercial,Y,Y,VU,65.0,NECS,January 2011-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2011-01-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",1,1,1,0,0,0,0,0,0
226,,Herring sp.,Clupeiformes,Clupeidae,,11.0,566.0,0.019434629,,pelagic-neritic,,Particulate feeder,,,,,,NECS,July 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-07-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",2,2,2,2,2,2,2,2,2
227,Melanogrammus aeglefinus,Haddock,Gadiformes,Gadidae,4.0,6.0,97.0,0.06185567,0.06,demersal,105.0,Benthic foraging,highly commercial,experimental,Y,VU,55.0,NECS,July 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-07-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",1,1,1,0,0,0,0,0,0
228,Merlangius merlangus,Whiting,Gadiformes,Gadidae,4.4,6.0,105.0,0.057,0.11,benthopelagic,65.0,Benthic foraging,highly commercial,N,Y,LC,38.0,NECS,October 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-10-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",1,1,1,0,0,0,0,0,0
229,Scomber scombrus,Atlantic mackerel,Perciformes,Scombridae,3.6,0.0,84.0,0.0,,pelagic-neritic,200.0,Particulate feeder,highly commercial,N,Y,LC,44.0,NECS,July 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-07-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",2,2,2,2,2,2,2,2,2
230,Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,3.7,1.0,100.0,0.01,0.01,pelagic-neritic,150.0,Active predation,highly commercial,N,Y,VU,59.0,NECS,September 2010,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-09-01 00:00:00'), Timestamp('2010-09-30 00:00:00'))",1,1,1,0,0,0,0,0,0
231,Whiting sp.,Whiting sp.,,,,6.0,105.0,0.057142857,,,1375.0,,,,,,,NECS,July 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-07-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",2,2,2,2,2,2,2,2,2
232,,Horse mackerel sp.,Perciformes,Carangidae,,1.0,100.0,0.01,,,,Particulate feeder,,,,,,NECS,July 2010-February 2011,2013,Foekema et al. 2013,Y,3,marine,trawling,plastic study,FTIR,no,yes,"(Timestamp('2010-07-01 00:00:00'), Timestamp('2011-02-01 00:00:00'))",2,2,2,2,2,2,2,2,2
233,Abudefduf sordidus,Blackspot sergeant,Perciformes,Pomacentridae,2.9,0.0,1.0,0.0,0.0,reef-associated,1.5,Particulate feeder,minor commercial,N,N,LC,32.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
234,Caranx melampygus,Bluefin trevally,Perciformes,Carangidae,4.5,0.0,1.0,0.0,0.0,reef-associated,95.0,Active predation,minor commercial,N,Y,LC,56.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
235,Caranx sexfasciatus,Bigeye trevally,Perciformes,Carangidae,4.5,0.0,3.0,0.0,0.0,reef-associated,73.0,Active predation,minor commercial,N,Y,LC,45.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
236,Chlorurus sordidus,Daisy parrotfish,Perciformes,Scaridae,2.4,1.0,4.0,0.25,0.25,reef-associated,25.0,Grazing,commercial,N,N,LC,19.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
237,Coris aygula,Clown coris,Perciformes,Labridae,3.7,0.0,1.0,0.0,0.0,reef-associated,16.0,Benthic foraging,minor commercial,N,Y,LC,72.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
238,Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,4.4,0.0,1.0,0.0,0.0,pelagic-neritic,7.5,Active predation,highly commercial,Y,Y,LC,40.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
239,Epinephelus fasciatus,Blacktip grouper,Perciformes,Serranidae,3.7,0.0,17.0,0.0,0.0,reef-associated,32.5,Benthic foraging,commercial,N,Y,LC,53.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
240,Epinephelus sp.,,Perciformes,Serranidae,,0.0,1.0,0.0,0.0,reef-associated,,,,,,,,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
241,Gymnosarda unicolor,Dogtooth tuna,Perciformes,Scombridae,4.5,0.0,2.0,0.0,0.0,reef-associated,140.0,Active predation,minor commercial,N,Y,LC,73.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
242,Kuhlia sandvicensis,Hawaiian flagtail,Perciformes,Kuhliidae,3.8,2.0,15.0,0.133333333,0.133333333,benthopelagic,10.0,,none,N,Y,Not assessed,32.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
243,Kyphosus pacificus,Pacific drummer,Perciformes,Kyphosidae,,0.0,15.0,0.0,0.0,reef-associated,10.0,,none,N,N,Not assessed,56.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
244,Lutjanus gibbus,Humpback red snapper,Perciformes,Lutjanidae,4.1,0.0,1.0,0.0,0.0,reef-associated,75.5,Benthic foraging,commercial,N,Y,LC,35.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
245,Mulloidichthys flavolineatus,Yellowstripe goatfish,Perciformes,Mullidae,3.8,0.0,2.0,0.0,0.0,reef-associated,38.5,Benthic foraging,commercial,N,Y,LC,39.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
246,Myripristis amaena,Brick soldierfish,Beryciformes,Holocentridae,3.6,0.0,10.0,0.0,0.0,reef-associated,38.5,Benthic foraging,none,N,N,LC,37.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
247,Naso brachycentron,Humpback unicornfish,Perciformes,Acanthuridae,2.7,0.0,1.0,0.0,0.0,reef-associated,17.5,Grazing,none,N,N,LC,67.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
248,Oxycheilinus unifasciatus,Ringtail maori wrasse,Perciformes,Labridae,4.1,0.0,1.0,0.0,0.0,reef-associated,75.5,Benthic foraging,minor commercial,N,N,LC,44.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
249,Scarus sp.,,Perciformes,Scaridae,,0.0,1.0,0.0,0.0,reef-associated,,,,,,,,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
250,Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,0.0,10.0,0.0,0.0,benthopelagic,,Active predation,minor commercial,Y,Y,LC,69.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
251,Sphyraena qenie,Blackfin barracuda,Perciformes,Sphyraenidae,4.5,1.0,7.0,0.142857143,0.142857143,reef-associated,50.5,Active predation,commercial,N,Y,Not assessed,76.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
252,Thalassoma purpureum,Surge wrasse,Perciformes,Labridae,3.8,1.0,2.0,0.5,0.5,reef-associated,5.0,Benthic foraging,minor commercial,N ,Y,LC,44.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
253,Thalassoma trilobatum,Christmas wrasse,Perciformes,Labridae,3.8,1.0,4.0,0.25,0.25,reef-associated,5.0,Benthic foraging,minor commercial,N,N,LC,35.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
254,Variola louti,Yellow-edged lyretail,Perciformes,Serranidae,4.3,2.0,15.0,0.133333333,0.133333333,reef-associated,15.0,Particulate feeder,commercial,N,Y,LC,49.0,SPSG,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
255,Epinephelus sp.,,Perciformes,Serranidae,,0.0,1.0,0.0,0.0,reef-associated,,,,,,,,TASM,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
256,Kyphosus sydneyanus,Silver drummer,Perciformes,Kyphosidae,2.0,0.0,10.0,0.0,0.0,demersal,,Grazing,subsistence,N,N,Not assessed,59.0,TASM,2015-2016,2018,Forrest and Hindell 2018,Y,1,marine,various,artisanal fishing,none,no,no,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
257,Cheilopogon simus,Short-nosed flying fish,Beloniformes,Exocoetidae,4.0,6.0,34.0,0.18,0.24,pelagic-neritic,10.0,Particulate feeder,minor commercial,N,N,Not assessed,18.0,SPSG,January 2017-March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-03-01 00:00:00'))",1,1,1,0,0,0,0,0,0
258,Epinephelus merra,Honeycomb grouper,Perciformes,Serranidae,3.8,10.0,33.0,0.3,0.39,reef-associated,20.0,Active predation,commercial,Y,Y,LC,29.0,SPSG,January 2017-March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-03-01 00:00:00'))",1,1,1,0,0,0,0,0,0
259,Myripristis spp.,,Beryciformes,Holocentridae,,7.0,33.0,0.21,0.27,,,,,,,,,SPSG,January 2017-March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-03-01 00:00:00'))",1,1,1,0,0,0,0,0,0
260,Siganus spp.,,Perciformes,Siganidae,,5.0,33.0,0.15,0.15,reef-associated,,,,,,,,SPSG,January 2017-March 2017,2019,Garnier et al. 2019,Y,3,marine,"fish market, field collection","plastic study, fish market",none,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-03-01 00:00:00'))",1,1,1,0,0,0,0,0,0
261,Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,2.0,19.0,0.105263158,0.1053,benthopelagic,414.0,Particulate feeder,minor commercial,experimental,Y,LC,69.0,NPSE,2009,2013,Gassel et al. 2013,Y,2,marine,hook-and-line,plastic study,none,not described,yes,"(Timestamp('2009-01-01 00:00:00'), Timestamp('2009-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
262,Myctophidae spp.,,Myctophiformes,Myctophidae,,2.0,6.0,0.333333333,0.666666667,,,,,,,,,CCAL,2009,2019,Gassel et al. 2019,Y,3,marine,trawling,plastic study,none,lab blank,yes,"(Timestamp('2009-01-01 00:00:00'), Timestamp('2009-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
263,Sprattus sprattus,European sprat,Clupeiformes,Clupeidae,3.0,43.0,111.0,0.387387387,0.88,pelagic-neritic,80.0,Particulate feeder,highly commercial,N,N,LC,33.0,NECS,2014,2016,GESAMP 2016,Y,2,marine,,,,,,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
264,Merluccius merluccius,European hake,Gadiformes,Merluccidae,4.4,26.0,97.0,0.268,0.381443299,demersal,235.0,Active predation,highly commercial,N,Y,LC,64.0,MEDI,2017,2019,Giani et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
265,Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,26.0,132.0,0.197,0.212121212,demersal,200.0,Benthic foraging,commercial,N,Y,LC,29.0,MEDI,2017,2019,Giani et al. 2019,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2017-01-01 00:00:00'), Timestamp('2017-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
266,Argyrosomus regius,Meagre,Perciformes,Sciaenidae,4.3,17.0,51.0,0.333333333,0.53,benthopelagic,300.0,Active predation,commercial,N,Y,LC,67.0,MEDI,2015,2017,Guven et al. 2017,Y,3,marine,trawling,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
