,Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used,parsed_date,Risk_0_3,Risk_0_5,Risk_0_10,Risk_0pt5_5,Risk_0pt5_10,Risk_1_5,Risk_1_10,Risk_3_10,Risk_5_10
13,Sparus aurata,Gilthead seabream,Perciformes,Sparidae,3.7,20.0,20.0,1.0,7.3,demersal,15.5,Benthic foraging,commercial,Y,Y,LC,40.0,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",2,2,1,2,1,2,1,1,1
14,Micropogonias furnieri,Whitemouth croaker,Perciformes,Sciaenidae,3.1,20.0,20.0,1.0,12.1,demersal,60.0,Benthic foraging,highly commercial,N,N,LC,31.0,FKLD,2018,2019,Arias et al. 2019,Y,3,marine,shrimp net,plastic study,none,lab blank,yes,"(Timestamp('2018-01-01 00:00:00'), Timestamp('2018-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
15,Micropogonias furnieri,Whitemouth croaker,Perciformes,Sciaenidae,3.1,20.0,20.0,1.0,12.1,demersal,60.0,Benthic foraging,highly commercial,N,N,LC,31.0,FKLD,2018,2019,Arias et al. 2019,Y,3,estuarine,shrimp net,plastic study,none,lab blank,yes,"(Timestamp('2018-01-01 00:00:00'), Timestamp('2018-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
16,Chelidonichthys lucerna,Tub gurnard,Scorpaeniformes,Triglidae,4.0,2.0,3.0,0.666666667,0.667,demersal,169.0,Benthic foraging,commercial,N,Y,LC,40.0,MEDI,2014,2015,Avio et al. 2015,Y,3,marine,Aquaculture,Aquaculture,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
17,Merluccius merluccius,European hake,Gadiformes,Merluccidae,4.4,3.0,3.0,1.0,1.33,demersal,235.0,Active predation,highly commercial,N,N,LC,64.0,MEDI,2014,2015,Avio et al. 2015,Y,3,marine,Aquaculture,Aquaculture,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
18,Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,7.0,11.0,0.636363636,0.8563,demersal,200.0,Benthic foraging,commercial,N,Y,LC,29.0,MEDI,2014,2015,Avio et al. 2015,Y,3,marine,Aquaculture,Aquaculture,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
19,Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,3.1,19.0,99.0,0.191919192,0.3416,pelagic-neritic,100.0,Particulate feeder,highly commercial,N,N,LC,27.0,MEDI,2014,2015,Avio et al. 2015,Y,3,marine,Aquaculture,Aquaculture,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
20,Squalus acanthias,Picked dogfish,Squaliformes,Squalidae,4.4,4.0,9.0,0.444444444,0.5555,benthopelagic,175.0,Active predation,commercial,N,Y,LC,64.0,MEDI,2014,2015,Avio et al. 2015,Y,3,marine,Aquaculture,Aquaculture,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
21,Phycis phycis ,Forkbeard,Gadiformes,Phycidae,4.3,7.0,8.0,0.875,,benthopelagic,150.0,,minor commercial,N,N,LC,45.0,MEDI,2014,2017,Avio et al. 2017,Y,3,marine,gillnets,plastic study,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
22,Spondyliosoma cantharus,Black seabream,Perciformes,Sparidae,3.3,5.0,5.0,1.0,,benthopelagic,152.5,Active predation,commercial,Y,N,LC,37.0,MEDI,2014,2017,Avio et al. 2017,Y,3,marine,gillnets,plastic study,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
